species_name,root_disease,foliar_disease,symptoms,references,,,
Phytophthora captiosa,0,1,"Crown disease; leaf spots, petiole infection and twig and small branch lesions","Dick, M.A., Dobbie, K., Cooke, D.E.L., and Brasier, C.M. 2006. Phytophthora captiosa sp. nov. and P. fallax sp. nov. causing crown dieback of Eucalyptus in New Zealand. Mycol. Res. 110: 393-404",Dick et al. 2006,,
Phytophthora caryae,0,0,To date found only in natural waterways,"Brazee, N.J., Yang, X., and Hong, C.X. 2017. Phytophthora caryae sp. nov., a new species recovered from streams and rivers in the eastern United States. Pl. Pathol. 66(5): 805-817",,,
Phytophthora castaneae,1,0,"Trunk rot; attacks trunks, branches, and exposed roots causing necrotic lesions that exude black sap"," Oh, E. and Parke, J.L. 2012. Phythophthora katsurae. Forest Phytophthoras 2(1)",,,
Phytophthora castanetorum,1,0,Pathogenic to roots in pathogenicity tests.,"Jung, T., Jung, M.H., Cacciola, S.O., Cech, T., Bakonyi, J., Seress, D., Mosca, S., Schena, L., Seddaiu, S., Pane, A., di San Lio, G.M., Maia, C., Cravador, A., Franceschini, A., and Scanu, B. 2017. Multiple new cryptic pathogenic Phytophthora species from Fagaceae forests in Austria, Italy and Portugal. IMA Fungus 8(2): 219-244.",,,
Phytophthora chlamydospora,1,0,"Root rot, stem cankers; fine roots were completely rotted,crown and root lesions","Turkolmez, S., Dervis, S., Ciftci, O., and Ulubas Serce, C. 2016. First report of Phytophthora chlamydospora causing root and crown rot on almond (Prunus dulcis) trees in Turkey. Pl. Dis. 100(8): 1796",,,
Phytophthora chrysanthemi,1,0,Stem and root rot; roots on these plants were brown and necrosis had spread to the stem base,"Naher, M., Motohash, K., Watanabe, H., Chikuo, Y., Senda, M., Suga, H., Brasier, C., and Kageyama, K. 2011. Phytophthora chrysanthemi sp. nov., a new species causing root rot of chrysanthemum in Japan. Mycol. Progr. 10: 21-31; Gotz, M., Ulrich, R., and Werres, S. 2017. First detection of Phytophthora chrysanthemi on Chrysanthemum indicum in Germany. New Disease Reports 35: 6",,,
Phytophthora cichorii,1,0,Isolated from chicory roots,"Bertier, L., Brouwer, H., de Cock, A.W.A.M., Cooke, D.E.L., Olsson, C.H.B., and Hofte, M. 2013. The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops. Persoonia 31: 63-76",,,
Phytophthora cinnamomi,1,0,"Root rot, heart rot, wilt. Causes ink disease of Chestnut in conjunction with Phytophthora cambivora. A serious pathogen of hardwood forests and various crop species","Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA",,,
Phytophthora citricola,1,1,"Brown rot of oranges, black root of hops, root rot and cane die-back of raspberry, die-back of rhododendron and basal rot of tomato seedlings; Bud, leaf, and twig blight on Rhododendron spp.; wilt; able to attack wounded and unwounded leaf disks of lilac in inoculation tests causing dark-brown to
tan, water-soaked lesions; Leaf Spots on Laurus nobilis","Wilcox, W.F. 1989. Identity, virulence, and isolation frequency of seven Phytophthora spp. causing root rot of raspberry in New York. Phytopathology 79(1): 93-101; C. Crepel, S. Inghelbrecht, S. Baeyen, M. Maes, and S. G. Bobev, 2005. First Report of Leaf Spots on Laurus nobilis Caused by Phytophthora citricola in Belgium. Plant Disease 89: 107-107; Weiland, J. E., Nelson, A. H., and Hudler, G. W. 2010. Aggressiveness of Phytophthora cactorum, P. citricola I, and P. plurivora from European beech. Plant Dis. 94:1009-1014; ",,,
Phytophthora citrophthora,1,1,"Serious gummosis of citrus trees; in historical outbreaks nearly all citrus trees were destroyed (Erwin & Ribeiro 1996). Also a root rot, stem necrosis, canker, fruit rot, twig blight, seedling blight; see Erwin & Ribeiro for disease symptoms by host; citrus brown fruit rot, trunk gummosis, collar and root rot, and leaf and shoot blight","Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages.",,,
Phytophthora clandestina,1,0,Major root rot pathogen of subterranean clover,"Erwin, D.C., and Ribeiro, O.K. 1996. Phytophthora Diseases Worldwide. APS Press, St. Paul, Minnesota, 562 pages",,,
Phytophthora cocois,0,1,"Frond death, wilting, fruit rot, tree death.In Hawaii the disease has killed hundreds of coconut trees. Areas with highly
conducive environments have lost most of their trees, thus the disease is now less common than in previous decades.
Infected trees, which are identified by dead young leaves, cannot be saved by the application of systemic fungicides.
Rapid removal and destruction of infected trees and removal of old leaves and petioles is needed to prevent infection
of healthy trees (Uchida 2004). No other palm in Hawaii has been found to be affected by P. cocois and thus other
ornamental palms are planted where coconut fruit is not required","Weir, B.S., Paderes, E.P., Anand, N., Uchida, J.Y., Pennycook, S.R., Bellgard, S.E., and Beever, R.E. 2015. A taxonomic revision of Phytophthora Clade 5 including two new species, Phytophthora agathidicida and P. cocois. Phytotaxa 205: 21-38",,,
Phytophthora colocasiae,0,1,"Leaf blight, corm rot, wilt; also stem canker and black stripe of rubber; primarily a foliar pathogen, but it also affects the petioles and corms of its hosts.","Baysal-Gurel, F., and Cinar, A. 2015. First report of leaf blight caused by Phytophthora colocasiae infecting taro in Turkey. Pl. Dis. 99(10): 1445-1446",,,
Phytophthora condilina,NA,NA,no pathogenicity tests; isolated from soil,"Burgess, T.I., Simamora, A.V., White, D., Williams, B., Schwager, M., Stukely, M.J.C., and St. J. Hardy, G.E. 2018. New species from Phytophthora clade 6a: evidence for recent radiation. Persoonia 41: 1-17",,,
Phytophthora constricta,1,0,"isolated by direct plating of damaged roots or stem cankers; causes patchy deaths of Proteaceous plant species in kwongan vegetation (Proteaceous plant species including Banksias spp., Hakea spp., Adenanthos spp. and Isopogon spp., also Pinus radiata). Control achieved by management of infested material in nurseries. Control of rare or endangered flora can be achieved through the use of phosphite.","Stukely, M.J.C. 2012. New Phytophthoras in Western Australia's natural ecosystems. Microbiol. Austral. 33(1): 31-33",,,
Phytophthora cooljarloo,NA,NA,isolated from soil; no pathogenicity tests,"Burgess, T.I., Simamora, A.V., White, D., Williams, B., Schwager, M., Stukely, M.J.C., and St. J. Hardy, G.E. 2018. New species from Phytophthora clade 6a: evidence for recent radiation. Persoonia 41: 1-17",,,
Phytophthora crassamura,1,0,"isolated from rhizosphere soil of a dying Juniperus phoenicea tree;  isolated from collar lesion of a declining nursery plant
of Picea abies; collar rot, decline, stem canker, usually isolated from root and soil","Scanu, B., Linaldeddu, B.T., Deidda, A., and Jung, T. 2015. Diversity of Phytophthora species from declining Mediterranean maquis vegetation, including two new species, Phytophthora crassamura and P. ornamentata sp. nov. PLoS ONE 10(12): e0143234; Sims, L.L., Chee, C., Bourret, T., Hunter, S., and Garbelotto, M. 2019. Genetic and phenotypic variation of Phytophthora crassamura isolates from California nurseries and restoration sites. Fung. Biol. 123(2): 159-169 ",,,
Phytophthora cryptogea,1,0,"Damping-off, foot rot, stem rot, leaf rot, wilt; postharvest infection of fruit; never isolated from
aerial tissues or found naturally sporulating on leaf or stems ","Vettraino, A.M., Tomassini, A., Dalla Valle, M., Liberati, D., De Angelis, P., and Vannini, A. 2016. First report of Phytophthora cryptogea causing root rot on cherry laurel plants in central Italy. Pl. Dis. 100(5): 1025; Pane, A., Faedda, R., Granata, G., Puglisi, I., Aloi, F., La Spada, F., Evoli, M., Stracquadanio, C., and Cacciola, S.O. 2018. First report of root and basal stem rot caused by Phytophthora cryptogea and P. inundata on dwarf banana in Italy. Pl. Dis. 102(3): 684-685; Jamart, G., and Bakonyi, J. 2003. First report of root rot of lettuce caused by Phytophthora cryptogea in Belgium. J. Pl. Pathol. 85: 63-65; Ampuero, J., Latorre, B. A., Torres, R., and Chávez, E. R. 2008. Identification of Phytophthora cryptogea as the cause of rapid decline of petunia (Petunia × hybrida) in Chile. Plant Dis. 92:1529-1536",,,
Phytophthora dauci,1,0,isolated from roots of carrot,"Bertier, L., Brouwer, H., de Cock, A.W.A.M., Cooke, D.E.L., Olsson, C.H.B., and Hofte, M. 2013. The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops. Persoonia 31: 63-76",,,
Phytophthora drechsleri,1,0,"Primarily a root pathogen but also attacks ripening fruit for various crops; Root rot, bark canker fruit rot, stem rot, seedling blight",,,,
Phytophthora elongata,1,1,"Root rot, stem cankers",,,,
Phytophthora erythroseptica,1,1,"Root rot, bark canker fruit rot, stem rot, seedling blight. Pink rot of potato. Seed-piece rot of Saccharum officinarum (sugar cane) (Erwin & Ribiero 1996).    ","leaf spot on orchids, leaf and petiole blight on Zantedeschia spp. ",,,
Phytophthora estuarina,NA,NA,no pathogenicity tests,,,,
Phytophthora europaea,1,0,In inoculation studies it was shown to aggressively infect the roots of Q. robur (Jung et al. 2002) and to the stem of Q. alba Q. rubra and Q. velutina (Balci et al. 2006),,,,
Phytophthora fallax,0,1,"leaf spots, petiole infection and twig and small branch lesions. ",,,,
Phytophthora flexuosa,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,,,,
Phytophthora fluvialis,0,0,not known to cause disease,,,,
Phytophthora foliorum,0,1,Leaf spots,,,,
Phytophthora formosa,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,,,,
Phytophthora fragariae,1,0,Red stele or red core root rot (Phytophthora database). Strawberry red core (DC database).,"Red stele or red core is the most important disease of strawberry worldwide. It can be detected by severely stunted plants. On warm days, entire plants or outer leaves of plants wilt suddenly (Fig. 5). Older leaves of infected plants become yellow, red, and brown. The root systems of infected plants are devoid of lateral roots, giving larger roots with black tips and a ""rat's tail"" appearance (Fig. 6). When the stele is cut, a red or reddish brown color is seen surrounding the white cortical tissue (Fig. 7). The red discoloration can extend up the root into the crown of the plant. Roots that develop during the summer months do not become infected and the plant can partially recover during the warm season. Oospores form in the root, crown, and leaves and can survive in the soil for many years (Erwin and Ribeiro, 1996).",,,
Phytophthora fragariaefolia,0,1,Crown rot,,,,
Phytophthora frigida,1,0,Eucalyptus collar and root rot,,,,
Phytophthora gallica,1,0,Declining Oaks,caused lesions in inoculations underbark and in abscised shoots ,,,
Phytophthora gemini,0,1,decaying leaves and seeds,,,,
Phytophthora gibbosa,0,0,pathogenicity and their role in natural ecosystems are unknown. ,,,,
Phytophthora glovera,1,0,"Root rot, stunting.",,,,
Phytophthora gonapodyides,1,0,"root rot , twig blight, fruit rot, stem lesions, ",,,,
Phytophthora gondwanensis,NA,NA,no pathogenicity tests,,,,
Phytophthora gregata,0,0,pathogenicity and their role in natural ecosystems are unknown. ,,,,
Phytophthora hedraiandra,0,1,leaf spot dieback,,,,
Phytophthora heveae,0,1,"Rot, leaf blight and stem canker. Disease symptoms on crop species include black stripe of rubber bud rot and nut fall of coconut and dieback of rhododendron (Erwin & Ribeiro 1996).","P. heveae causes pod rot and black stripe of rubber and pod rot of cocoa, whereas in Brazil nuts it causes spots and blight of the young stems. In avocadoes it causes cracked and bleeding cankers on the lower trunk and upper part of the rootstock; lesions generally form in the bark (Zentmeyer et al., 1978). Dieback has been observed on Rhododendron (Benson and Jones, 1980). In Agathis australis, cankers of the major roots and stem base accompanied by discoloured sapwood have been observed (Gadgil, 1974).",,,
Phytophthora hibernalis,0,1,Brown rot of fruit; leaf and twig blight.,,,,
Phytophthora himalsilva,0,0,"P. himasilva has been recovered from the rhizosphere of Quercus, Castanopsis, Carpinus and Cupressus spp. in Nepal. In pathogenicity trials it was capable of causing lesions on twigs of Juglans regia.",,,,
Phytophthora humicola,1,0,"Pathogenic to apple and cucumber, but not orange or eggplant, after wound inoculation.","Root Rot and Dieback of Pinus pinea, chlorosis, crown thinning, stunted growth, bark lesions at the stem base with resinous exudations, and extensive necroses of the underlying xylem tissue. Woody roots of two uprooted trees exhibited bark necroses and a high proportion of fine roots was destroyed. ",,,
Phytophthora hydrogena,0,0,Symptomatic plant samples infected by this species have never been observed. A pathogenicity test of P. hydrogena was done with rhododendron as test plants. Phytophthora hydrogena did not cause any obvious disease symptom on rhododendron three months after inoculation (phytophthora database),,,,
Phytophthora hydropathica,1,1,"leaf and stem necrosis, collar rot, seedling damping-off and root rots, fruit rot","leaf necrosis and shoot blight on Rhododendron catawbiense, collar rot on Kalmia latifolia (Hong et al., 2010), and has been associated with wilting and shoot dieback on V. tinus (Vitale et al., 2014).",,,
Phytophthora idaei,1,0, moderate root damage to raspberry canes,,,,
Phytophthora ilicis,0,1,leaf and twig blight,"Black blotches on leaves, die-back of stems",,,
Phytophthora infestans,1,1,Potato late blight,"blackish/brown lesions on leaves and stems (Figures 3,4) that may be small at first and appear water-soaked or have chlorotic borders but expand rapidly and the entire leaf becomes become necrotic. ",,,
Phytophthora insolita,0,1,marine saprotroph on mangrove leaves,Foliar necrotic lesions and twig dieback in rhododendron (Testa 2005),,,
Phytophthora intercalaris,0,0,"stream and nursery irrigation water in Maryland, Massachusetts, North Carolina, Virginia and West Virginia in the USA",,,,
Phytophthora intricata,1,0,"pathogenticity tests on C. sativa, F. sylvatica and Q. suber.  P. intricata showed 43.0 % root rot, 51.5 % reduction of fine root weight and necrotic root lesions or dieback of taproots (Fig. 13i) on 60 % of plants. ",,,,
Phytophthora inundata,1,0,Root and collar rot.,,,,
Phytophthora ipomoeae,0,1,blighted foliage,"blighted leaves and petioles (Badillo-Ponce, 2004)",,,
Phytophthora iranica,1,0,"Root and stem rot, tuber soft rot.",,,,
Phytophthora irrigata,0,0,isolated from irrigation reservoirs and rivers in Eastern United States of America,,,,
Phytophthora kernoviae,0,1,leaf necrosis and/or stem dieback in shrubs and bushes and some tree species,,,,
Phytophthora kwongonina,NA,NA,recovered from the rhizosphere soil and dead and dying plants within dry kwongon heathlands,no pathogenicity tests,,,
Phytophthora lactucae,1,0,Crown and root rot of lettuce,,,,
Phytophthora lacustris,1,0,diseased roots and stem bases,,,,
Phytophthora lateralis,1,1,"Root and crown rot, dying foliage","P. lateralis can also spread aerially under some conditions. In Europe especially (Green et al., 2013), and apparently in Taiwan (Webber et al., 2012), but only rarely in the USA (Trione and Roth, 1957; Trione, 1959), foliage is infected by wind-blown sporangia or zoospores. Initial infection arises via splash dispersal of propagules from soil to low-lying branches. Subsequent aerial spread is from sporangia and zoospores which have formed on the foliage (Trione, 1974) in cool wet conditions. New infections can spread into branches and the main stem, killing trees from the top down.",,,
Phytophthora lilii,0,0,stem blight,,,,
Phytophthora litchii,0,1,Leaf and Stem Downy Blight of Longan Seedlings,,,,
Phytophthora litoralis,0,0,"Pathogenic on Xanthorrhoea preissii, Banksia sp. and Casuarina obesa.",,,,
Phytophthora macilentosa,NA,NA,"recovered from irrigation water of an ornamental plant nursery in Mississippi, USA",no pathogenicity tests,,,
Phytophthora macrochlamydospora,1,0,Stem and root rot on soybean,,,,
Phytophthora meadii,0,1,Abnormal leaf fall of rubber,"Foliar blight of Leea coccinea, leaf spots",,,
Phytophthora medicaginis,1,0,"Root rot, damping-off of seedlings.",,,,
Phytophthora megakarya,1,1,"Pod rot, seedling blight, trunk canker. Inoculum does not survive in mummified pods, but survives in soil up to 18 months, possibly in infected roots","lesions with irregular edges on the fruit, roots / soft rot of cortex",,,
Phytophthora megasperma,1,0,crown and root rot of almond,,,,
Phytophthora melonis,1,1,"P. melonis causes infection in leaves, stems, and fruits of cucumber plants. The fungus initiates infection in the collar region, which turns greenish brown and becomes soft. The stem then shrinks, and the plant collapses. Lesions on the leaves turn darker green than the rest of the leaf and progress toward the pedicel. Fruit infection is initiated at the tip and leads to dark green, water-soaked lesions. ",,,,
Phytophthora mengei,1,0," P. mengei is a serious
canker pathogen on avocado in California; P. mengei invades
the large structural roots, the trunk and may extend
into the lower limbs. ",,,,
Phytophthora mexicana,0,1,Fruit rot. Also black wilt and damping off.,,,,
Phytophthora mirabilis,1,1,Leaf blight; shanking; white tip disease; leaf dieback; crown collar and root rot.,,,,
Phytophthora mississippiae,0,0,containment basins at one nursery each in Alabama and Mississippi,,,,
Phytophthora morindae,0,1,Black flag disease.,,,,
Phytophthora moyootj,0,0,"no known disease, mud from vehicle, baited from soil, isolated from
water from restored pit at mine site",,,,
Phytophthora multivesiculata,0,1,"Leaf and stem rot, bulb rot.",,,,
Phytophthora multivora,1,0,isolated from fine roots and collar lesions,,Scott et al. 2009,,
Phytophthora nagaii,0,1,"diseased rose crowns (Phytophthora database). Leaf and stem blight of rose (Rahman et al, 2014).",,,,
Phytophthora nemorosa,0,1,foliar and bole pathogen,"leaf spots and twig cankers (Fig. 3). P. nemorosa is seldom associated with lethal trunk cankers on mature trees, but when it does cause lethal cankers, P. nemorosa is usually associated with single dead trees rather than patches of dead trees",,,
Phytophthora nicotianae,1,1,"Black shank of tobacco, damping-off, crown rot, leaf blight, fruit rot.",Root Rot of Lycopersicon esculentum ,,,
Phytophthora niederhauserii,1,1,"Root rot, bark necrosis, ","Symptoms on various hosts included crown and stem rot, chlorosis, wilting, leaf blight, cankers and gumming",,,
Phytophthora obscura,0,1,"diseased leaf tissue of Kalmia latifolia, substrate underneath Pieris and from soil samples underneath Aesculus hippocastanum ",bleeding cankers in urban plantations,,,
Phytophthora occultans,1,0,Root rot,,,,
Phytophthora ornamentata,1,0,"P. ornamentata were the
most aggressive root pathogens on P. lentiscus (P < 0.0001), causing more than 60% reduction
of total root length (Fig 7B). All Phytophthora isolates were re-isolated from both necrotic
roots and soil. ",,,,
Phytophthora pachypleura,1,0,"root rot, wilting, blackened leaves, branch dieback and eventually plant death.",root rot of Aucuba japonica and other ornamentals,,,
Phytophthora palmivora,1,1,"Black pod and canker of cacao; patch canker, black stripe and leaf fall of rubber; bud rot of coconut, fruit and stem rot of pawpaw; root rot and damping-off of seedlings.",,Torres et al. 2016,,
Phytophthora parsiana,1,1,aerial cankers and gummosis ,root and crown necrosis,Fichtner et al. 2016,HAJEBRAHIMI et al. 2011,
Phytophthora parvispora,1,0,root Rot of Concinna Prayer Plant,,,,
Phytophthora phaseoli,0,1,"Downy mildew of Phaseolus lunatus (lima bean) is most destructive on pods, but the pathogen also infects shoots, leaves, and petioles",,,,
